event_id;visible;timestamp;location_long;location_lat;gps:hdop;sensor_type;individual_taxon_canonical_name;tag_local_identifier;individual_local_identifier;study_name
20940180412;TRUE;2015-04-27 08:01:00.000;18.46358;-33.949612;1.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180418;TRUE;2015-04-27 09:00:00.000;18.462512;-33.949747;1.3;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180424;TRUE;2015-04-27 12:00:00.000;18.459925;-33.950185;1.3;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180430;TRUE;2015-04-27 15:00:00.000;18.460088;-33.950093;1.3;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180436;TRUE;2015-04-27 18:00:00.000;18.461935;-33.951347;1.0;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180442;TRUE;2015-04-27 21:00:00.000;18.46189;-33.951367;1.3;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180448;TRUE;2015-04-28 00:00:00.000;18.459528;-33.950868;0.9;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180454;TRUE;2015-04-28 03:00:00.000;18.458402;-33.95024;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180459;TRUE;2015-04-28 06:00:00.000;18.456052;-33.950825;1.2;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180464;TRUE;2015-04-28 09:00:00.000;18.460365;-33.95112;1.0;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180469;TRUE;2015-04-28 12:00:00.000;18.460355;-33.9509;1.6;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180474;TRUE;2015-04-28 15:00:00.000;18.461818;-33.948873;0.9;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180479;TRUE;2015-04-28 18:00:00.000;18.45985;-33.946093;0.9;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180485;TRUE;2015-04-28 21:00:00.000;18.45974;-33.945735;1.3;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180491;TRUE;2015-04-29 00:00:00.000;18.463722;-33.945478;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180496;TRUE;2015-04-29 00:20:00.000;18.463608;-33.944522;1.0;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180501;TRUE;2015-04-29 00:40:00.000;18.463937;-33.944787;0.9;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180506;TRUE;2015-04-29 01:00:00.000;18.464395;-33.946192;0.9;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180511;TRUE;2015-04-29 01:20:00.000;18.464537;-33.944918;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180516;TRUE;2015-04-29 01:40:00.000;18.464487;-33.94482;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180521;TRUE;2015-04-29 02:00:00.000;18.463635;-33.945137;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180526;TRUE;2015-04-29 02:20:00.000;18.463675;-33.945143;1.1;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
20940180531;TRUE;2015-04-29 02:40:00.000;18.463695;-33.945132;0.8;gps;Caracal caracal;TMC08-4870;Jasper - TMC08;Caracal movement ecology study in Cape Town, South Africa
