id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8236820,da1f181c-2e5b-41b2-bf78-b752afeae247,2009-11-26 11:36:00,2009-11-26,2009-11-26 09:36:00 UTC,Pretoria,552380,henrydelange,Henry de Lange,2017-10-03 16:42:04 UTC,2023-07-08 11:39:06 UTC,research,CC-BY,https://www.inaturalist.org/observations/8236820,https://inaturalist-open-data.s3.amazonaws.com/photos/10923031/medium.jpg,,"","",9,0,false,179,"Western Cape, ZA",-33.9797222222,18.4330555556,100,,,,100,,open,false,,"",Caracal,Caracal caracal,Caracal,Mammalia,42042
9704264,8ca496b6-07e2-4321-b23d-fa4a89d0affd,2018/01/23 5:19 PM SAST,2018-01-23,2018-01-23 15:19:00 UTC,Africa/Johannesburg,383144,tonyrebelo,Tony Rebelo,2018-02-02 17:21:50 UTC,2023-10-13 09:04:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9704264,https://inaturalist-open-data.s3.amazonaws.com/photos/13271996/medium.jpeg,,"",,1,0,false,,Block A16 Lower Tokai Park section of Table Mountain National Park,-34.05096603,18.43063563,5,,,,5,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
10801194,6cf0caec-ba40-4fcc-9e3c-1d1aab5c975d,2011-11-04,2011-11-04,,Pretoria,668373,gigilaidler,Gigi Laidler,2011-11-04 16:37:49 UTC,2025-06-05 23:24:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10801194,https://inaturalist-open-data.s3.amazonaws.com/photos/15119962/medium.jpg,,"",<h3>Caracal</h3><br>,4,0,false,,Kirstenbosch National Botanical Garden,-33.98856,18.42461,1,,,,1,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
10849203,3a6ce871-6f06-411a-a993-ed90c66e2a23,2013-02-20,2013-02-20,,Africa/Johannesburg,668373,gigilaidler,Gigi Laidler,2013-02-20 17:48:44 UTC,2019-08-05 16:13:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10849203,https://inaturalist-open-data.s3.amazonaws.com/photos/15215763/medium.jpg,,"","<h3>Amble away, my beauty! Caracal strolling past a crowd</h3><br><p>This caracal was spotted casually walking along the Braille Trail, while a deluge of around 1,700 paediatric cardiologist conference delegates attending a function at Kirstenbosch thronged their way along the path a couple of meters away. It seemed unfazed that I was following it trying to get a decent photo.</p>",8,0,false,,Kirstenbosch National Botanical Garden,-33.98814,18.431175,1,,,,1,,open,false,,,Caracal caracal,Caracal caracal,Caracal,Mammalia,42042
10980091,047870e8-0616-4e8a-ade4-a3e182b8853e,2014-07-16,2014-07-16,,Africa/Johannesburg,731085,callumevans,Callum Evans,2014-07-18 08:01:47 UTC,2019-11-15 06:00:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10980091,https://inaturalist-open-data.s3.amazonaws.com/photos/15462262/medium.jpg,,rural,<h3>Caracal Scat</h3><br>,2,0,false,,"ERF3353, Soetvlei Ave",-34.05179,18.43675,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
10986857,d8b7a25c-d932-49ac-bf11-d6a986530af8,2014-07-16,2014-07-16,,Pretoria,731085,callumevans,Callum Evans,2014-07-22 09:24:54 UTC,2021-07-19 03:42:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10986857,https://inaturalist-open-data.s3.amazonaws.com/photos/15475841/medium.jpg,,"rural, Spoor & Signs",<h3>Mongoose tracks</h3><br>,1,0,false,,"Orpen Rd, Forest Glade",-34.056725,18.427806,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
11017193,6348075b-d99d-4871-8205-7dbcb6ea2e08,2015-06-27,2015-06-27,,Africa/Johannesburg,731085,callumevans,Callum Evans,2015-07-01 11:11:14 UTC,2019-11-15 05:59:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11017193,https://inaturalist-open-data.s3.amazonaws.com/photos/15533828/medium.jpg,,Scats & Dung,<h3>Caracal or Porcupine</h3><br>,1,0,false,,"Soetvlei Wetlands, Tokai Park",-34.0504,18.4368,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
11114075,5d6fa8b7-7445-4621-bf44-cc388db345e7,2015-02-21,2015-02-21,,Africa/Johannesburg,731085,callumevans,Callum Evans,2015-05-19 12:45:58 UTC,2019-11-15 06:00:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11114075,https://inaturalist-open-data.s3.amazonaws.com/photos/15710170/medium.jpg,,"",<h3>Caracal Kill: Signs of a Struggle</h3><br>,1,0,false,,"Soetvlei Wetlands, Tokai Park",-34.0506,18.4369,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
11115967,921cdf69-b970-4cb0-a8c7-05744635ba15,2015-01-01,2015-01-01,,Africa/Johannesburg,669759,andrewm,Andrew Massyn,2015-01-10 08:04:49 UTC,2018-07-12 15:19:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11115967,https://inaturalist-open-data.s3.amazonaws.com/photos/15713797/medium.jpg,,"","<h3>Seriously Cool way to begin the New Year</h3><br><p>My friend Elmarie and me went for a walk on New Years Day at Kirstenbosch and saw a caracal on the path going up to the Contour Path. Its the first time I have ever seen one. It was totally unbothered by us, and kept walking at a slow pace about twenty yards ahead of us for several minutes, before going off into the undergrowth. The pic was taken with Elmarie's i-phone. Not Bad for a pic taken in deep shade.</p>",7,0,false,,Kirstenbosch,-33.98478,18.43068,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
11121617,da40ab79-f39f-4f47-b690-ea107d6f4510,2015-10-30,2015-10-30,,Africa/Johannesburg,731085,callumevans,Callum Evans,2015-11-20 14:30:51 UTC,2019-07-07 22:31:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11121617,https://inaturalist-open-data.s3.amazonaws.com/photos/15724539/medium.jpg,,Spoor & Signs,<h3>Spoor on the path</h3><br>,1,0,false,,"5, Tokai Park",-34.0534,18.43671,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
11197880,879aab4b-cd5d-4dc5-8723-f5196baa5dcd,2016-09-19,2016-09-19,,Africa/Johannesburg,748780,lmossop,Leighan Mossop,2016-10-13 10:44:21 UTC,2019-03-13 22:50:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/11197880,https://inaturalist-open-data.s3.amazonaws.com/photos/19231595/medium.jpg,,"",<h3>Caracal TMC19 post collar</h3><br>,6,0,false,,Rondevlei East,-34.0689436,18.5023284,1,,,,1,,open,false,,,Caracal,Caracal caracal,Caracal,Mammalia,42042
21201825,99fe8524-cba6-4c18-8d42-95ebd8682878,2015/04/26 6:32 PM SAST,2015-04-26,2015-04-26 16:32:00 UTC,Pretoria,748780,lmossop,Leighan Mossop,2019-03-13 12:30:06 UTC,2023-07-08 20:05:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21201825,https://inaturalist-open-data.s3.amazonaws.com/photos/32772549/medium.jpg,,"","Collared in Urban Caracal Project (subject name ""West"")",3,0,false,,"Westlake Conservation Area, WLK015",-34.08088,18.43121,,,,,,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
21201939,2a31b7e6-f56b-4878-874b-629b1595c302,2015/04/25 7:41 AM SAST,2015-04-25,2015-04-25 05:41:00 UTC,Africa/Johannesburg,748780,lmossop,Leighan Mossop,2019-03-13 12:44:41 UTC,2020-01-23 17:28:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21201939,https://inaturalist-open-data.s3.amazonaws.com/photos/32772949/medium.jpeg,,"","Collared as part of the Urban Caracal Project, subject name ""West""",1,0,false,,"Westlake Conservation Area, WLK018",-34.07938,18.42965,,,,,,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
21202507,ba8cd50b-79ac-42ab-bddb-6746132fffc1,2015/05/06 6:29 PM SAST,2015-05-06,2015-05-06 16:29:00 UTC,Pretoria,748780,lmossop,Leighan Mossop,2019-03-13 13:26:42 UTC,2023-07-08 20:05:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21202507,https://inaturalist-open-data.s3.amazonaws.com/photos/32773899/medium.jpeg,,"","Collared animal part of the Urban Caracal Project, subject name ""West""",4,0,false,,"Westlake Conservation Area, WLK013",-34.08075,18.43064,,,,,,,open,false,,,Southern and Eastern African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
21202516,44f94ba2-f7fc-4adb-8d0d-df481fb3082c,2015/05/06 6:32 PM SAST,2015-05-06,2015-05-06 16:32:00 UTC,Pretoria,748780,lmossop,Leighan Mossop,2019-03-13 13:26:44 UTC,2023-07-08 20:05:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21202516,https://inaturalist-open-data.s3.amazonaws.com/photos/32773903/medium.jpeg,,"","Collared animal part of the Urban Caracal Project, subject name ""West""",6,0,false,,"Westlake Conservation Area, WLK013",-34.08075,18.43064,,,,,,,open,false,,,Caracal caracal caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
21203755,24dc766a-c54a-4cc4-bb57-355d573eaeac,2015/05/10 6:29 PM SAST,2015-05-10,2015-05-10 16:29:00 UTC,Pretoria,748780,lmossop,Leighan Mossop,2019-03-13 14:29:54 UTC,2023-07-08 20:06:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21203755,https://inaturalist-open-data.s3.amazonaws.com/photos/32775416/medium.jpeg,,"","Collared as part of the Urban Caracal Project, subject name ""West""",7,0,false,,"Westlake Conservation Area, WLK028",-34.07947,18.42984,,,,,,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
21203757,0624ea31-cdca-443b-8f55-681e2601beea,2015/05/05 10:11 PM SAST,2015-05-05,2015-05-05 20:11:00 UTC,Pretoria,748780,lmossop,Leighan Mossop,2019-03-13 14:29:55 UTC,2023-07-08 20:06:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21203757,https://inaturalist-open-data.s3.amazonaws.com/photos/32775423/medium.jpeg,,"","",6,0,false,,"Westlake Conservation Area, WLK028",-34.07947,18.42984,,,,,,,open,false,,,Southeast African Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
